ID,pH,Temperature,Colour,Turbidity,Timestamp
1142,7.41,22.28,140,27.71,2026-06-19T05:01:00
1143,7.81,24.72,114,15.49,2026-06-19T05:02:00
1144,7.27,31.17,138,33.75,2026-06-19T05:03:00
1145,6.91,24.73,114,10.66,2026-06-19T05:04:00
1146,7.18,24.37,93,29.24,2026-06-19T05:05:00
1147,7.91,29.46,111,22.63,2026-06-19T05:06:00
1148,7.27,33.77,100,8.59,2026-06-19T05:07:00
1149,8.17,28.43,86,16.58,2026-06-19T05:08:00
1150,7.9,27.74,77,14.43,2026-06-19T05:09:00
1151,7.39,23.71,108,30.48,2026-06-19T05:10:00
1152,8.05,22.34,114,39.29,2026-06-19T05:11:00
1153,8.37,25.37,55,22.92,2026-06-19T05:12:00
1154,8.37,36.23,46,19.0,2026-06-19T05:13:00
1155,7.02,28.93,74,16.71,2026-06-19T05:14:00
1156,6.71,34.19,123,10.82,2026-06-19T05:15:00
1157,7.63,26.81,114,28.29,2026-06-19T05:16:00
1158,8.12,27.54,66,19.57,2026-06-19T05:17:00
1159,7.67,28.73,114,41.33,2026-06-19T05:18:00
1160,7.3,25.28,83,33.73,2026-06-19T05:19:00
1161,7.04,34.72,62,33.09,2026-06-19T05:20:00
1162,7.67,33.27,38,43.79,2026-06-19T05:21:00
1163,7.69,24.37,39,28.12,2026-06-19T05:22:00
1164,7.36,26.64,130,34.5,2026-06-19T05:23:00
1165,7.72,24.84,118,26.98,2026-06-19T05:24:00
1166,7.24,33.44,31,37.04,2026-06-19T05:25:00
1167,6.93,29.94,34,36.49,2026-06-19T05:26:00
1168,7.71,34.41,129,17.65,2026-06-19T05:27:00
1169,8.2,36.67,114,16.43,2026-06-19T05:28:00
1170,7.25,27.36,51,28.01,2026-06-19T05:29:00
1171,7.04,34.57,79,29.09,2026-06-19T05:30:00
1172,7.24,22.15,135,34.72,2026-06-19T05:31:00
1173,8.12,29.87,72,19.14,2026-06-19T05:32:00
1174,8.12,22.56,139,9.09,2026-06-19T05:33:00
1175,7.69,28.71,127,39.67,2026-06-19T05:34:00
1176,6.85,26.81,83,37.65,2026-06-19T05:35:00
1177,7.28,27.0,99,42.66,2026-06-19T05:36:00
1178,7.38,31.76,78,8.01,2026-06-19T05:37:00
1179,8.29,26.13,98,41.41,2026-06-19T05:38:00
1180,7.62,33.65,42,39.38,2026-06-19T05:39:00
1181,8.35,24.9,102,14.51,2026-06-19T05:40:00
1182,8.17,30.49,134,23.41,2026-06-19T05:41:00
1183,8.1,25.86,40,13.55,2026-06-19T05:42:00
1184,7.12,33.96,82,39.04,2026-06-19T05:43:00
1185,7.67,33.53,75,16.32,2026-06-19T05:44:00
1186,7.59,24.36,46,38.62,2026-06-19T05:45:00
1187,7.1,35.22,111,32.02,2026-06-19T05:46:00
1188,7.98,22.1,68,30.38,2026-06-19T05:47:00
1189,7.85,37.05,31,19.79,2026-06-19T05:48:00
1190,7.25,27.7,131,17.98,2026-06-19T05:49:00
1191,8.35,26.95,37,8.85,2026-06-19T05:50:00
1192,6.96,34.69,129,8.21,2026-06-19T05:51:00
1193,8.3,34.89,63,21.69,2026-06-19T05:52:00
1194,8.1,31.87,104,13.54,2026-06-19T05:53:00
1195,6.9,24.58,140,27.78,2026-06-19T05:54:00
1196,6.91,24.47,54,39.44,2026-06-19T05:55:00
1197,7.54,23.15,61,36.12,2026-06-19T05:56:00
1198,7.86,36.27,51,28.56,2026-06-19T05:57:00
1199,8.12,28.96,105,31.2,2026-06-19T05:58:00
1200,7.34,36.63,72,36.02,2026-06-19T05:59:00
1201,8.26,25.96,37,12.0,2026-06-19T06:00:00
1202,7.08,33.95,99,18.24,2026-06-19T06:01:00
1203,6.98,23.4,132,21.43,2026-06-19T06:02:00
1204,7.23,36.69,113,42.81,2026-06-19T06:03:00
1205,6.86,37.97,115,11.97,2026-06-19T06:04:00
1206,6.74,37.69,67,36.79,2026-06-19T06:05:00
1207,8.34,22.98,58,14.6,2026-06-19T06:06:00
1208,8.14,27.52,98,39.31,2026-06-19T06:07:00
1209,7.72,24.64,123,44.27,2026-06-19T06:08:00
1210,7.11,33.86,137,39.09,2026-06-19T06:09:00
1211,7.81,28.9,100,17.18,2026-06-19T06:10:00
1212,7.75,22.92,75,42.15,2026-06-19T06:11:00
1213,8.22,28.2,101,14.16,2026-06-19T06:12:00
1214,7.29,31.21,56,29.69,2026-06-19T06:13:00
1215,7.21,23.75,125,20.81,2026-06-19T06:14:00
1216,7.31,31.14,131,37.46,2026-06-19T06:15:00
1217,7.06,26.95,96,26.22,2026-06-19T06:16:00
1218,7.41,30.93,100,26.75,2026-06-19T06:17:00
1219,7.51,34.94,40,44.76,2026-06-19T06:18:00
1220,7.68,28.67,106,15.37,2026-06-19T06:19:00
1221,7.57,34.5,47,11.94,2026-06-19T06:20:00
1222,8.08,25.97,44,23.37,2026-06-19T06:21:00
1223,6.98,25.15,129,41.9,2026-06-19T06:22:00
1224,7.64,22.53,106,19.61,2026-06-19T06:23:00
1225,7.74,29.1,88,37.91,2026-06-19T06:24:00
1226,6.8,23.09,104,11.09,2026-06-19T06:25:00
1227,8.19,25.06,123,26.74,2026-06-19T06:26:00
1228,6.98,24.11,36,18.51,2026-06-19T06:27:00
1229,7.83,24.08,120,12.75,2026-06-19T06:28:00
1230,8.39,30.73,44,20.93,2026-06-19T06:29:00
1231,6.66,22.75,64,43.95,2026-06-19T06:30:00
1232,7.3,36.87,121,31.28,2026-06-19T06:31:00
1233,6.73,31.85,125,15.43,2026-06-19T06:32:00
1234,8.15,31.08,47,22.1,2026-06-19T06:33:00
1235,8.38,32.11,92,25.16,2026-06-19T06:34:00
1236,7.23,29.6,135,8.92,2026-06-19T06:35:00
1237,8.31,36.54,71,43.23,2026-06-19T06:36:00
1238,8.22,37.8,62,44.19,2026-06-19T06:37:00
1239,8.14,23.51,84,36.81,2026-06-19T06:38:00
1240,6.69,36.41,126,23.26,2026-06-19T06:39:00
1241,7.36,32.51,46,9.67,2026-06-19T06:40:00
1242,8.21,26.8,139,14.43,2026-06-19T06:41:00
1243,6.63,31.86,41,20.36,2026-06-19T06:42:00
1244,6.78,29.02,33,9.75,2026-06-19T06:43:00
1245,7.26,36.08,54,27.36,2026-06-19T06:44:00
1246,8.36,34.64,61,11.77,2026-06-19T06:45:00
1247,7.24,32.13,121,31.08,2026-06-19T06:46:00
1248,7.73,30.16,63,43.34,2026-06-19T06:47:00
1249,7.79,31.75,65,33.92,2026-06-19T06:48:00
1250,7.22,36.33,85,40.96,2026-06-19T06:49:00
1251,7.99,29.69,109,30.72,2026-06-19T06:50:00
1252,8.11,31.72,140,27.7,2026-06-19T06:51:00
1253,7.55,35.5,121,18.05,2026-06-19T06:52:00
1254,7.61,32.31,56,35.32,2026-06-19T06:53:00
1255,8.08,25.24,55,35.97,2026-06-19T06:54:00
1256,8.36,32.36,83,27.53,2026-06-19T06:55:00
1257,6.79,37.51,107,25.65,2026-06-19T06:56:00
1258,8.29,22.19,32,22.93,2026-06-19T06:57:00
1259,6.93,27.03,30,23.09,2026-06-19T06:58:00
1260,6.75,28.6,93,37.19,2026-06-19T06:59:00
1261,7.4,33.06,76,41.67,2026-06-19T07:00:00
1262,6.67,25.52,116,44.12,2026-06-19T07:01:00
1263,7.63,36.7,77,15.56,2026-06-19T07:02:00
1264,7.24,28.49,124,30.15,2026-06-19T07:03:00
1265,7.82,36.89,103,21.5,2026-06-19T07:04:00
1266,7.75,22.28,86,20.17,2026-06-19T07:05:00
1267,7.48,30.79,65,23.41,2026-06-19T07:06:00
1268,8.2,32.04,106,16.32,2026-06-19T07:07:00
1269,8.32,24.66,59,10.47,2026-06-19T07:08:00
1270,7.86,31.15,92,40.6,2026-06-19T07:09:00
1271,7.85,22.28,132,17.94,2026-06-19T07:10:00
1272,6.63,34.33,124,35.89,2026-06-19T07:11:00
1273,7.16,36.54,51,39.2,2026-06-19T07:12:00
1274,6.91,37.7,124,28.96,2026-06-19T07:13:00
1275,8.08,32.97,138,42.87,2026-06-19T07:14:00
1276,7.82,27.5,110,9.34,2026-06-19T07:15:00
1277,6.94,32.93,67,44.74,2026-06-19T07:16:00
1278,6.97,32.2,41,39.01,2026-06-19T07:17:00
1279,7.17,31.54,38,36.01,2026-06-19T07:18:00
1280,7.0,29.11,76,25.2,2026-06-19T07:19:00
1281,7.53,29.64,79,44.66,2026-06-19T07:20:00
1282,8.12,31.68,36,18.95,2026-06-19T07:21:00
1283,7.32,37.9,88,14.86,2026-06-19T07:22:00
1284,7.56,29.47,86,44.12,2026-06-19T07:23:00
1285,7.62,37.26,98,33.8,2026-06-19T07:24:00
1286,7.41,23.29,58,20.39,2026-06-19T07:25:00
1287,7.9,34.62,56,35.66,2026-06-19T07:26:00
1288,8.35,35.67,85,27.64,2026-06-19T07:27:00
1289,7.68,35.83,113,8.49,2026-06-19T07:28:00
1290,8.33,22.58,125,19.03,2026-06-19T07:29:00
1291,8.32,24.84,71,41.58,2026-06-19T07:30:00
1292,7.06,27.14,84,36.98,2026-06-19T07:31:00
1293,8.23,23.7,73,37.81,2026-06-19T07:32:00
1294,8.0,24.83,139,33.91,2026-06-19T07:33:00
1295,6.91,37.37,80,26.72,2026-06-19T07:34:00
1296,7.92,36.14,88,15.24,2026-06-19T07:35:00
1297,8.01,28.51,45,26.04,2026-06-19T07:36:00
1298,7.73,25.95,40,27.4,2026-06-19T07:37:00
1299,7.16,29.98,31,28.78,2026-06-19T07:38:00
1300,7.14,31.87,118,10.39,2026-06-19T07:39:00
1301,8.35,36.77,42,43.1,2026-06-19T07:40:00
1302,7.02,28.09,137,20.64,2026-06-19T07:41:00
1303,7.15,37.3,130,35.92,2026-06-19T07:42:00
1304,6.92,31.94,48,30.92,2026-06-19T07:43:00
1305,8.14,31.34,48,31.75,2026-06-19T07:44:00
1306,6.62,36.01,83,21.55,2026-06-19T07:45:00
1307,7.04,25.56,71,11.36,2026-06-19T07:46:00
1308,8.36,34.95,131,24.53,2026-06-19T07:47:00
1309,8.39,30.96,110,35.32,2026-06-19T07:48:00
1310,8.02,35.47,133,21.69,2026-06-19T07:49:00
1311,6.76,29.2,100,13.1,2026-06-19T07:50:00
1312,7.83,30.41,97,14.8,2026-06-19T07:51:00
1313,7.13,31.4,46,16.61,2026-06-19T07:52:00
1314,7.18,23.58,36,36.53,2026-06-19T07:53:00
1315,7.11,32.4,75,37.11,2026-06-19T07:54:00
1316,7.3,22.79,51,31.09,2026-06-19T07:55:00
1317,7.63,32.9,45,37.97,2026-06-19T07:56:00
1318,6.69,36.19,110,41.88,2026-06-19T07:57:00
1319,7.51,34.14,41,14.82,2026-06-19T07:58:00
1320,7.7,30.02,116,42.17,2026-06-19T07:59:00
1321,6.79,27.55,112,15.33,2026-06-19T08:00:00
1322,8.06,36.48,61,44.92,2026-06-19T08:01:00
1323,7.02,37.24,61,21.31,2026-06-19T08:02:00
1324,8.39,24.93,122,30.67,2026-06-19T08:03:00
1325,6.81,31.11,91,39.8,2026-06-19T08:04:00
1326,7.48,26.5,42,28.96,2026-06-19T08:05:00
1327,7.91,37.47,42,29.52,2026-06-19T08:06:00
1328,8.24,25.35,71,26.76,2026-06-19T08:07:00
1329,7.96,29.77,53,33.23,2026-06-19T08:08:00
1330,7.08,31.42,91,21.55,2026-06-19T08:09:00
1331,8.06,32.74,73,15.05,2026-06-19T08:10:00
1332,7.37,26.88,123,30.89,2026-06-19T08:11:00
1333,8.12,28.39,103,11.78,2026-06-19T08:12:00
1334,7.62,37.56,86,40.27,2026-06-19T08:13:00
1335,7.23,36.69,87,38.56,2026-06-19T08:14:00
1336,7.74,24.72,121,39.77,2026-06-19T08:15:00
1337,7.57,34.68,54,35.98,2026-06-19T08:16:00
1338,7.59,32.02,53,10.24,2026-06-19T08:17:00
1339,8.32,37.69,102,43.1,2026-06-19T08:18:00
1340,7.69,31.47,58,14.55,2026-06-19T08:19:00
1341,8.12,25.17,113,27.54,2026-06-19T08:20:00
1342,8.35,32.21,37,9.7,2026-06-19T08:21:00
1343,7.18,29.46,137,36.61,2026-06-19T08:22:00
1344,7.04,36.86,50,8.85,2026-06-19T08:23:00
1345,6.76,35.17,50,42.57,2026-06-19T08:24:00
1346,7.44,30.0,83,12.28,2026-06-19T08:25:00
1347,7.17,25.21,40,44.5,2026-06-19T08:26:00
1348,8.01,37.17,105,38.94,2026-06-19T08:27:00
1349,8.31,22.96,43,17.81,2026-06-19T08:28:00
1350,7.45,32.85,105,22.28,2026-06-19T08:29:00
1351,8.4,32.25,58,10.02,2026-06-19T08:30:00
1352,6.79,28.43,80,30.94,2026-06-19T08:31:00
1353,6.83,23.42,91,39.73,2026-06-19T08:32:00
1354,7.47,37.29,109,38.69,2026-06-19T08:33:00
1355,6.97,35.11,119,22.04,2026-06-19T08:34:00
1356,7.06,25.73,69,14.57,2026-06-19T08:35:00
1357,7.58,35.76,114,17.62,2026-06-19T08:36:00
1358,7.22,24.33,127,36.8,2026-06-19T08:37:00
1359,7.01,35.13,85,18.06,2026-06-19T08:38:00
1360,7.69,22.07,67,24.9,2026-06-19T08:39:00
1361,7.35,34.36,94,32.82,2026-06-19T08:40:00
1362,7.25,22.59,56,41.5,2026-06-19T08:41:00
1363,7.19,33.26,98,12.27,2026-06-19T08:42:00
1364,7.35,37.26,126,16.04,2026-06-19T08:43:00
1365,7.93,24.4,130,29.77,2026-06-19T08:44:00
1366,7.21,34.3,52,29.49,2026-06-19T08:45:00
1367,7.69,29.22,140,13.56,2026-06-19T08:46:00
1368,7.1,23.35,129,8.98,2026-06-19T08:47:00
1369,7.72,35.85,75,11.84,2026-06-19T08:48:00
1370,6.96,24.83,77,25.18,2026-06-19T08:49:00
1371,7.31,28.77,46,21.18,2026-06-19T08:50:00
1372,7.53,33.39,60,31.18,2026-06-19T08:51:00
1373,6.62,30.12,119,24.82,2026-06-19T08:52:00
1374,7.49,28.44,104,13.49,2026-06-19T08:53:00
1375,7.94,36.08,122,43.51,2026-06-19T08:54:00
1376,8.05,22.78,127,11.01,2026-06-19T08:55:00
1377,6.94,34.63,43,20.55,2026-06-19T08:56:00
1378,8.07,28.43,90,27.15,2026-06-19T08:57:00
1379,7.14,24.85,75,22.77,2026-06-19T08:58:00
1380,7.65,36.04,126,15.43,2026-06-19T08:59:00
1381,7.7,31.05,85,40.45,2026-06-19T09:00:00
1382,6.78,33.19,123,21.24,2026-06-19T09:01:00
1383,8.07,33.59,45,24.79,2026-06-19T09:02:00
1384,7.27,34.8,71,36.02,2026-06-19T09:03:00
1385,8.36,31.03,32,23.17,2026-06-19T09:04:00
1386,7.69,24.44,54,12.46,2026-06-19T09:05:00
1387,8.34,33.14,41,12.32,2026-06-19T09:06:00
1388,8.18,37.28,99,13.83,2026-06-19T09:07:00
1389,7.91,31.85,35,41.92,2026-06-19T09:08:00
1390,7.35,34.37,72,14.02,2026-06-19T09:09:00
1391,6.88,34.98,33,29.42,2026-06-19T09:10:00
1392,6.61,27.65,90,23.62,2026-06-19T09:11:00
1393,8.23,27.21,125,19.27,2026-06-19T09:12:00
1394,8.22,35.43,68,22.73,2026-06-19T09:13:00
1395,8.27,22.69,53,44.29,2026-06-19T09:14:00
1396,6.71,28.6,79,31.75,2026-06-19T09:15:00
1397,8.3,30.57,78,44.66,2026-06-19T09:16:00
1398,7.28,30.23,127,33.03,2026-06-19T09:17:00
1399,7.1,32.12,36,14.75,2026-06-19T09:18:00
1400,7.92,23.39,111,23.82,2026-06-19T09:19:00
1401,6.75,35.72,107,30.61,2026-06-19T09:20:00
1402,6.67,22.04,113,22.06,2026-06-19T09:21:00
1403,8.01,27.94,39,31.23,2026-06-19T09:22:00
1404,7.73,31.48,83,33.15,2026-06-19T09:23:00
1405,7.58,37.04,129,42.66,2026-06-19T09:24:00
1406,7.71,35.85,33,13.14,2026-06-19T09:25:00
1407,7.09,27.91,62,24.64,2026-06-19T09:26:00
1408,7.67,36.03,44,15.1,2026-06-19T09:27:00
1409,7.96,34.93,79,39.87,2026-06-19T09:28:00
1410,6.76,23.79,98,12.23,2026-06-19T09:29:00
1411,6.96,27.63,113,31.19,2026-06-19T09:30:00
1412,8.29,22.43,130,36.73,2026-06-19T09:31:00
1413,6.74,37.77,94,20.5,2026-06-19T09:32:00
1414,7.45,28.34,85,27.38,2026-06-19T09:33:00
1415,7.65,35.85,51,40.59,2026-06-19T09:34:00
1416,8.1,25.01,101,24.92,2026-06-19T09:35:00
1417,8.17,30.28,47,44.64,2026-06-19T09:36:00
1418,7.72,36.21,65,27.86,2026-06-19T09:37:00
1419,7.19,23.73,110,36.4,2026-06-19T09:38:00
1420,7.26,31.65,44,37.1,2026-06-19T09:39:00
1421,7.83,23.93,112,16.06,2026-06-19T09:40:00
1422,6.76,34.97,35,41.38,2026-06-19T09:41:00
1423,6.94,31.02,44,43.1,2026-06-19T09:42:00
1424,7.32,36.19,43,26.18,2026-06-19T09:43:00
1425,8.35,34.06,32,24.04,2026-06-19T09:44:00
1426,7.58,26.89,82,41.33,2026-06-19T09:45:00
1427,7.2,28.41,119,38.13,2026-06-19T09:46:00
1428,6.97,36.15,133,33.3,2026-06-19T09:47:00
1429,8.26,23.06,64,15.34,2026-06-19T09:48:00
1430,7.54,36.73,87,35.42,2026-06-19T09:49:00
1431,7.39,35.71,102,18.4,2026-06-19T09:50:00
1432,6.86,22.51,114,31.48,2026-06-19T09:51:00
1433,7.11,37.99,110,44.56,2026-06-19T09:52:00
1434,6.62,37.86,112,24.71,2026-06-19T09:53:00
1435,8.2,35.75,37,16.16,2026-06-19T09:54:00
1436,8.22,29.88,37,10.85,2026-06-19T09:55:00
1437,7.16,28.91,99,14.26,2026-06-19T09:56:00
1438,8.21,27.51,63,11.29,2026-06-19T09:57:00
1439,8.25,25.63,62,24.01,2026-06-19T09:58:00
1440,7.3,22.36,94,28.13,2026-06-19T09:59:00
1441,8.21,34.2,55,37.47,2026-06-19T10:00:00
1442,7.0,29.66,104,34.01,2026-06-19T10:01:00
1443,6.84,37.57,115,29.4,2026-06-19T10:02:00
1444,7.63,24.75,82,12.44,2026-06-19T10:03:00
1445,7.03,36.19,30,25.16,2026-06-19T10:04:00
1446,7.38,22.07,55,16.64,2026-06-19T10:05:00
1447,7.62,32.23,126,24.95,2026-06-19T10:06:00
1448,6.95,26.11,98,13.53,2026-06-19T10:07:00
1449,7.23,32.44,35,14.08,2026-06-19T10:08:00
1450,7.5,35.67,56,37.8,2026-06-19T10:09:00
1451,6.95,27.38,63,31.56,2026-06-19T10:10:00
1452,7.92,34.19,136,21.76,2026-06-19T10:11:00
1453,7.57,30.47,65,18.88,2026-06-19T10:12:00
1454,8.26,30.73,139,42.59,2026-06-19T10:13:00
1455,7.54,31.86,62,30.2,2026-06-19T10:14:00
1456,7.6,33.37,86,9.76,2026-06-19T10:15:00
1457,7.75,22.58,137,36.29,2026-06-19T10:16:00
1458,8.17,34.39,119,17.83,2026-06-19T10:17:00
1459,7.48,26.53,61,32.02,2026-06-19T10:18:00
1460,7.13,37.07,139,17.12,2026-06-19T10:19:00
1461,8.17,33.75,119,9.02,2026-06-19T10:20:00
1462,6.86,30.16,100,36.1,2026-06-19T10:21:00
1463,7.37,38.0,93,11.84,2026-06-19T10:22:00
1464,8.21,32.7,43,37.17,2026-06-19T10:23:00
1465,7.93,26.75,81,22.8,2026-06-19T10:24:00
1466,8.07,31.9,72,10.48,2026-06-19T10:25:00
1467,8.26,31.37,95,20.09,2026-06-19T10:26:00
1468,7.97,30.78,71,28.68,2026-06-19T10:27:00
1469,7.65,31.09,75,9.17,2026-06-19T10:28:00
1470,7.77,26.11,52,8.87,2026-06-19T10:29:00
1471,7.48,31.71,31,23.03,2026-06-19T10:30:00
1472,7.56,22.23,94,19.8,2026-06-19T10:31:00
1473,7.35,34.66,108,13.04,2026-06-19T10:32:00
1474,7.18,27.94,91,28.55,2026-06-19T10:33:00
1475,6.92,22.14,55,36.62,2026-06-19T10:34:00
1476,7.18,34.71,119,40.08,2026-06-19T10:35:00
1477,8.21,29.61,84,20.59,2026-06-19T10:36:00
1478,6.66,36.43,49,37.95,2026-06-19T10:37:00
1479,6.82,27.75,137,24.28,2026-06-19T10:38:00
1480,6.67,37.28,84,15.68,2026-06-19T10:39:00
1481,7.27,28.49,135,34.95,2026-06-19T10:40:00
1482,7.65,27.41,49,13.68,2026-06-19T10:41:00
1483,7.37,22.24,105,44.49,2026-06-19T10:42:00
1484,8.18,35.06,63,31.37,2026-06-19T10:43:00
1485,6.65,37.44,117,14.24,2026-06-19T10:44:00
1486,6.73,33.09,86,42.16,2026-06-19T10:45:00
1487,6.9,29.12,39,17.18,2026-06-19T10:46:00
1488,8.08,23.86,128,12.03,2026-06-19T10:47:00
1489,7.48,27.18,63,26.2,2026-06-19T10:48:00
1490,7.84,28.07,64,22.34,2026-06-19T10:49:00
1491,7.09,37.7,137,33.44,2026-06-19T10:50:00
1492,7.38,25.75,104,23.72,2026-06-19T10:51:00
1493,8.38,35.29,30,30.65,2026-06-19T10:52:00
1494,6.76,28.86,110,14.43,2026-06-19T10:53:00
1495,7.23,31.32,98,37.82,2026-06-19T10:54:00
1496,8.18,29.62,92,19.65,2026-06-19T10:55:00
1497,6.94,30.79,110,32.41,2026-06-19T10:56:00
1498,7.82,30.44,37,35.08,2026-06-19T10:57:00
1499,6.97,35.67,80,43.16,2026-06-19T10:58:00
1500,7.83,29.19,39,42.13,2026-06-19T10:59:00
1501,6.72,31.14,49,37.38,2026-06-19T11:00:00
1502,7.6,24.52,79,34.8,2026-06-19T11:01:00
1503,7.12,37.83,54,41.21,2026-06-19T11:02:00
1504,6.85,28.57,120,22.43,2026-06-19T11:03:00
1505,6.6,29.17,100,42.04,2026-06-19T11:04:00
1506,6.8,32.55,129,28.13,2026-06-19T11:05:00
1507,7.1,37.49,139,10.25,2026-06-19T11:06:00
1508,6.96,27.43,95,13.35,2026-06-19T11:07:00
1509,7.6,37.93,135,32.22,2026-06-19T11:08:00
1510,7.08,34.47,133,11.69,2026-06-19T11:09:00
1511,7.63,23.69,44,21.6,2026-06-19T11:10:00
1512,7.87,32.13,30,37.92,2026-06-19T11:11:00
1513,7.58,22.54,87,39.0,2026-06-19T11:12:00
1514,7.83,34.08,133,37.79,2026-06-19T11:13:00
1515,6.97,26.53,93,26.21,2026-06-19T11:14:00
1516,8.29,26.87,103,37.07,2026-06-19T11:15:00
1517,7.64,33.59,44,34.5,2026-06-19T11:16:00
1518,6.94,29.06,48,28.88,2026-06-19T11:17:00
1519,8.33,29.69,103,31.28,2026-06-19T11:18:00
1520,6.97,36.99,114,13.53,2026-06-19T11:19:00
1521,7.39,24.43,50,36.32,2026-06-19T11:20:00
1522,7.47,23.98,135,27.57,2026-06-19T11:21:00
1523,8.39,35.64,51,43.32,2026-06-19T11:22:00
1524,7.73,33.39,109,21.61,2026-06-19T11:23:00
1525,8.08,35.46,67,23.1,2026-06-19T11:24:00
1526,7.82,30.79,62,12.42,2026-06-19T11:25:00
1527,7.87,29.31,43,26.04,2026-06-19T11:26:00
1528,6.71,24.27,56,43.77,2026-06-19T11:27:00
1529,7.63,29.91,60,23.61,2026-06-19T11:28:00
1530,7.57,27.88,78,42.15,2026-06-19T11:29:00
1531,7.94,34.38,64,39.29,2026-06-19T11:30:00
1532,8.36,27.2,33,16.4,2026-06-19T11:31:00
1533,8.35,36.37,86,16.34,2026-06-19T11:32:00
1534,7.51,36.29,36,22.74,2026-06-19T11:33:00
1535,8.04,33.03,78,34.62,2026-06-19T11:34:00
1536,7.94,28.24,46,12.91,2026-06-19T11:35:00
1537,8.31,24.91,128,11.43,2026-06-19T11:36:00
1538,6.76,37.28,55,42.28,2026-06-19T11:37:00
1539,7.95,34.94,96,27.83,2026-06-19T11:38:00
1540,8.12,34.12,105,9.83,2026-06-19T11:39:00
1541,7.03,31.57,138,34.2,2026-06-19T11:40:00
1542,7.7,34.29,76,36.88,2026-06-19T11:41:00
1543,8.31,25.22,91,11.44,2026-06-19T11:42:00
1544,8.2,34.7,83,43.75,2026-06-19T11:43:00
1545,7.06,37.5,138,43.05,2026-06-19T11:44:00
1546,7.11,24.68,71,44.43,2026-06-19T11:45:00
1547,6.7,27.08,132,10.61,2026-06-19T11:46:00
1548,8.26,36.74,137,11.45,2026-06-19T11:47:00
1549,8.16,31.82,105,37.38,2026-06-19T11:48:00
1550,8.03,24.42,55,9.83,2026-06-19T11:49:00
1551,6.88,35.61,101,26.79,2026-06-19T11:50:00
1552,8.23,35.98,55,31.98,2026-06-19T11:51:00
1553,7.15,35.75,122,25.85,2026-06-19T11:52:00
1554,8.18,32.68,45,29.54,2026-06-19T11:53:00
1555,7.99,34.11,53,13.18,2026-06-19T11:54:00
1556,7.3,29.22,102,23.58,2026-06-19T11:55:00
1557,8.28,26.51,59,36.17,2026-06-19T11:56:00
1558,7.18,28.16,90,21.14,2026-06-19T11:57:00
1559,7.32,34.46,87,40.73,2026-06-19T11:58:00
1560,7.64,29.92,126,11.15,2026-06-19T11:59:00
1561,8.07,32.53,132,34.19,2026-06-19T12:00:00
1562,7.25,24.95,33,26.0,2026-06-19T12:01:00
1563,7.88,26.62,73,15.8,2026-06-19T12:02:00
1564,6.98,34.98,51,22.84,2026-06-19T12:03:00
1565,7.48,28.76,123,33.1,2026-06-19T12:04:00
1566,7.25,36.93,125,44.02,2026-06-19T12:05:00
1567,6.79,27.89,110,22.39,2026-06-19T12:06:00
1568,7.89,22.76,40,13.14,2026-06-19T12:07:00
1569,6.89,34.53,30,17.46,2026-06-19T12:08:00
1570,7.89,27.8,118,29.45,2026-06-19T12:09:00
1571,7.65,28.1,101,43.79,2026-06-19T12:10:00
1572,7.97,32.22,127,28.59,2026-06-19T12:11:00
1573,8.25,22.12,49,8.06,2026-06-19T12:12:00
1574,8.29,25.17,79,32.41,2026-06-19T12:13:00
1575,7.97,22.11,101,10.76,2026-06-19T12:14:00
1576,7.74,36.78,66,35.92,2026-06-19T12:15:00
1577,6.89,37.0,63,16.28,2026-06-19T12:16:00
1578,7.18,29.07,40,34.59,2026-06-19T12:17:00
1579,7.18,28.23,31,32.86,2026-06-19T12:18:00
1580,7.06,26.42,78,36.59,2026-06-19T12:19:00
1581,6.63,33.38,95,31.95,2026-06-19T12:20:00
1582,6.61,34.68,138,11.76,2026-06-19T12:21:00
1583,7.62,22.81,80,17.61,2026-06-19T12:22:00
1584,8.14,35.47,32,27.76,2026-06-19T12:23:00
1585,7.94,25.68,100,22.33,2026-06-19T12:24:00
1586,7.5,32.01,137,28.81,2026-06-19T12:25:00
1587,8.31,22.62,95,30.53,2026-06-19T12:26:00
1588,7.82,25.66,94,28.65,2026-06-19T12:27:00
1589,7.4,25.54,43,10.16,2026-06-19T12:28:00
1590,7.16,26.35,41,17.98,2026-06-19T12:29:00
1591,6.94,35.9,58,24.71,2026-06-19T12:30:00
1592,8.24,27.61,36,31.85,2026-06-19T12:31:00
1593,7.2,30.43,94,43.92,2026-06-19T12:32:00
1594,7.79,22.54,45,14.55,2026-06-19T12:33:00
1595,8.11,36.29,121,37.69,2026-06-19T12:34:00
1596,6.88,27.78,102,13.22,2026-06-19T12:35:00
1597,7.09,22.28,117,16.11,2026-06-19T12:36:00
1598,7.38,30.99,70,16.08,2026-06-19T12:37:00
1599,7.98,28.68,82,18.14,2026-06-19T12:38:00
1600,8.39,30.88,95,38.38,2026-06-19T12:39:00
1601,7.79,33.38,57,22.15,2026-06-19T12:40:00
1602,7.75,35.92,30,42.45,2026-06-19T12:41:00
1603,7.5,35.51,102,23.32,2026-06-19T12:42:00
1604,6.99,32.33,72,20.33,2026-06-19T12:43:00
1605,7.24,23.68,131,20.84,2026-06-19T12:44:00
1606,7.91,26.76,57,30.05,2026-06-19T12:45:00
